year,global_avg_temp,city_avg_temp
1808,7.63,14.91
1809,7.08,17.04
1810,6.92,17.09
1811,6.86,17.12
1812,7.05,17.07
1813,7.74,17.62
1814,7.59,17.68
1815,7.24,17.42
1816,6.94,16.97
1817,6.98,17.15
1818,7.83,17.99
1819,7.37,17.50
1820,7.62,17.67
1821,8.09,17.77
1822,8.19,17.66
1823,7.72,17.96
1824,8.55,18.75
1825,8.39,18.09
1826,8.36,18.01
1827,8.81,18.88
1828,8.17,18.08
1829,7.94,18.05
1830,8.52,18.36
1831,7.64,17.66
1832,7.45,17.08
1833,8.01,17.93
1834,8.15,17.79
1835,7.39,17.33
1836,7.70,17.77
1837,7.38,17.46
1838,7.51,17.26
1839,7.63,17.53
1840,7.80,17.57
1841,7.69,18.05
1842,8.02,18.01
1843,8.17,17.95
1844,7.65,17.81
1845,7.85,18.02
1846,8.55,18.69
1847,8.09,18.22
1848,7.98,18.12
1849,7.98,18.14
1850,7.90,17.56
1851,8.18,18.46
1852,8.10,18.24
1853,8.04,18.75
1854,8.21,17.79
1855,8.11,18.21
1856,8.00,17.71
1857,7.76,17.38
1858,8.10,18.03
1859,8.25,18.20
1860,7.96,18.59
1861,7.85,17.03
1862,7.56,17.00
1863,8.11,17.55
1864,7.98,18.32
1865,8.18,18.66
1866,8.29,18.48
1867,8.44,18.49
1868,8.25,18.02
1869,8.43,18.65
1870,8.20,18.37
1871,8.12,17.60
1872,8.19,18.38
1873,8.35,18.73
1874,8.43,17.92
1875,7.86,16.97
1876,8.08,18.46
1877,8.54,18.87
1878,8.83,18.76
1879,8.17,19.05
1880,8.12,17.82
1881,8.27,18.42
1882,8.13,17.66
1883,7.98,18.15
1884,7.77,17.67
1885,7.92,18.56
1886,7.95,17.89
1887,7.91,18.48
1888,8.09,18.40
1889,8.32,18.59
1890,7.97,18.40
1891,8.02,18.34
1892,8.07,18.60
1893,8.06,17.91
1894,8.16,17.55
1895,8.15,17.99
1896,8.21,18.18
1897,8.29,17.53
1898,8.18,18.11
1899,8.40,18.26
1900,8.50,18.62
1901,8.54,19.08
1902,8.30,18.70
1903,8.22,17.93
1904,8.09,17.92
1905,8.23,17.91
1906,8.38,18.19
1907,7.95,17.52
1908,8.19,17.66
1909,8.18,18.72
1910,8.22,17.81
1911,8.18,17.41
1912,8.17,18.09
1913,8.30,17.65
1914,8.59,17.80
1915,8.59,18.46
1916,8.23,18.68
1917,8.02,18.52
1918,8.13,18.11
1919,8.38,18.44
1920,8.36,17.67
1921,8.57,17.74
1922,8.41,18.64
1923,8.42,18.76
1924,8.51,18.57
1925,8.53,18.52
1926,8.73,18.52
1927,8.52,18.73
1928,8.63,18.94
1929,8.24,18.44
1930,8.63,18.98
1931,8.72,18.68
1932,8.71,18.56
1933,8.34,18.05
1934,8.63,18.69
1935,8.52,19.14
1936,8.55,18.93
1937,8.70,19.13
1938,8.86,18.26
1939,8.76,18.95
1940,8.76,18.79
1941,8.77,19.06
1942,8.73,18.64
1943,8.76,18.26
1944,8.85,18.47
1945,8.58,18.13
1946,8.68,18.75
1947,8.80,19.44
1948,8.75,18.00
1949,8.59,17.70
1950,8.37,18.50
1951,8.63,18.95
1952,8.64,19.06
1953,8.87,17.95
1954,8.56,18.81
1955,8.63,19.35
1956,8.28,18.53
1957,8.73,18.58
1958,8.77,19.04
1959,8.73,17.99
1960,8.58,19.59
1961,8.80,18.41
1962,8.75,19.52
1963,8.86,19.33
1964,8.41,18.05
1965,8.53,18.69
1966,8.60,19.26
1967,8.70,17.80
1968,8.52,18.78
1969,8.60,19.01
1970,8.70,18.88
1971,8.60,18.35
1972,8.50,18.18
1973,8.95,18.52
1974,8.47,18.45
1975,8.74,18.39
1976,8.35,18.24
1977,8.85,18.61
1978,8.69,18.90
1979,8.73,19.33
1980,8.98,18.65
1981,9.17,18.80
1982,8.64,18.12
1983,9.03,17.99
1984,8.69,18.49
1985,8.66,18.99
1986,8.83,18.73
1987,8.99,18.64
1988,9.20,18.77
1989,8.92,18.73
1990,9.23,18.90
1991,9.18,18.83
1992,8.84,17.73
1993,8.87,18.72
1994,9.04,19.34
1995,9.35,18.79
1996,9.04,19.23
1997,9.20,18.55
1998,9.52,19.73
1999,9.29,19.73
2000,9.20,19.09
2001,9.41,19.75
2002,9.57,19.47
2003,9.53,19.30
2004,9.32,19.22
2005,9.70,19.15
2006,9.53,19.07
2007,9.73,19.47
2008,9.43,19.75
2009,9.51,19.60
2010,9.70,21.07
2011,9.52,18.95
2012,9.51,19.72
2013,9.61,19.83
